"Genome_ID","Gene_ID","Locus_tag","geneAssociation"
"2867461147","2867461960","Ga0437206_11_224759_226234","K00033"
"2867461147","2867461433","Ga0437206_04_72504_73127","K01625"
"2867461147","2867461977","Ga0437206_11_243111_244238","K21071"
"2867461147","2867462552","Ga0437206_22_62090_62356","K02784"
"2867461147","2867461329","Ga0437206_03_33567_34040","K01808"
"2867461147","2867462537","Ga0437206_22_45299_46078","K00241"
"2867461147","2867461446","Ga0437206_05_14796_17504","K01006"
"2867461147","2867462613","Ga0437206_22_124706_125317","K02109"
"2867461147","2867462522","Ga0437206_22_24453_25340","K01623"
"2867461147","2867462020","Ga0437206_11_300612_301367","K00886"
"2867461147","2867462983","Ga0437206_34_91531_92223","K00338"
"2867461147","2867463328","Ga0437206_56_33575_34471","K00615"
"2867461147","2867463515","Ga0437206_76_5708_6757","K01624"
"2867461147","2867463016","Ga0437206_34_130456_131211","K00240"
"2867461147","2867462989","Ga0437206_34_99796_100551","K00332"
"2867461147","2867462437","Ga0437206_19_40997_42283","K01689"
"2867461147","2867461682","Ga0437206_09_21872_23116","K01903"
"2867461147","2867461772","Ga0437206_11_12943_14172","K00895"
"2867461147","2867461546","Ga0437206_06_58920_59840","K02795"
"2867461147","2867462986","Ga0437206_34_96388_97722","K00335"
"2867461147","2867461350","Ga0437206_03_59446_60447","K00016"
"2867461147","2867462166","Ga0437206_13_49316_52069","K00163"
"2867461147","2867462991","Ga0437206_34_101200_101559","K00330"
"2867461147","2867462979","Ga0437206_34_86231_87778","K00342"
"2867461147","2867462617","Ga0437206_22_128802_130241","K02112"
"2867461147","2867461327","Ga0437206_03_29613_31481","K01596"
"2867461147","2867462539","Ga0437206_22_48088_48858","K00240"
"2867461147","2867462383","Ga0437206_18_12954_13640","K00616"
"2867461147","2867461841","Ga0437206_11_94776_95993","K00169"
"2867461147","2867461915","Ga0437206_11_183159_184166","K00134"
"2867461147","2867462980","Ga0437206_34_87791_89803","K00341"
"2867461147","2867461681","Ga0437206_09_19248_21602","K00850"
"2867461147","2867462987","Ga0437206_34_97719_98417","K00334"
"2867461147","2867461722","Ga0437206_10_12428_13165","K01834"
"2867461147","2867461959","Ga0437206_11_222999_224561","K00036"
"2867461147","2867463644","Ga0437206_77_53556_55307","K00627"
"2867461147","2867461547","Ga0437206_06_59859_60713","K02796"
"2867461147","2867461842","Ga0437206_11_95990_97081","K00170"
"2867461147","2867462616","Ga0437206_22_127821_128756","K02115"
"2867461147","2867461261","Ga0437206_02_46127_46591","K01808"
"2867461147","2867461544","Ga0437206_06_57919_58362","K02793"
"2867461147","2867462748","Ga0437206_26_11817_12788","K00845"
"2867461147","2867461469","Ga0437206_05_44409_47234","K00937"
"2867461147","2867462116","Ga0437206_12_56832_58220","K00027"
"2867461147","2867461253","Ga0437206_02_35281_35745","K02777"
"2867461147","2867462984","Ga0437206_34_92216_93652","K00337"
"2867461147","2867462004","Ga0437206_11_281468_282133","K01783"
"2523231062","2523447996","G398DRAFT_00421","K00873"
"2523231062","2523450221","G398DRAFT_02648","K00850"
"2523231062","2523448039","G398DRAFT_00464","K00925"
"2523231062","2523450210","G398DRAFT_02637","K00615"
"2523231062","2523448291","G398DRAFT_00716","K00175"
"2523231062","2523447751","G398DRAFT_00176","K00625"
"2523231062","2523449321","G398DRAFT_01747","K00338"
"2523231062","2523448980","G398DRAFT_01406","K00331"
"2523231062","2523449322","G398DRAFT_01748","K00337"
"2523231062","2523448422","G398DRAFT_00847","K05606"
"2523231062","2523447676","G398DRAFT_00101","K01783"
"2523231062","2523447998","G398DRAFT_00423","K00134"
"2523231062","2523447918","G398DRAFT_00343","K01903"
"2523231062","2523448490","G398DRAFT_00915","K02109"
"2523231062","2523447838","G398DRAFT_00263","K03885"
"2523231062","2523448489","G398DRAFT_00914","K02109"
"2523231062","2523449743","G398DRAFT_02170","K00333"
"2523231062","2523449435","G398DRAFT_01862","K00124"
"2523231062","2523449744","G398DRAFT_02171","K00332"
"2523231062","2523449988","G398DRAFT_02415","K00249"
"2523231062","2523448475","G398DRAFT_00900","K00626"
"2523231062","2523447917","G398DRAFT_00342","K01902"
"2523231062","2523448696","G398DRAFT_01121","K01808"
"2523231062","2523447582","G398DRAFT_00007","K01849"
"2523231062","2523448022","G398DRAFT_00447","K00240"
"2523231062","2523447680","G398DRAFT_00105","K01848"
"2523231062","2523449271","G398DRAFT_01697","K00336"
"2523231062","2523449742","G398DRAFT_02169","K00337"
"2523231062","2523448296","G398DRAFT_00721","K01895"
"2523231062","2523447869","G398DRAFT_00294","K00626"
"2523231062","2523448021","G398DRAFT_00446","K00239"
"2523231062","2523448297","G398DRAFT_00722","K24012"
"2523231062","2523449741","G398DRAFT_02168","K00338"
"2523231062","2523448864","G398DRAFT_01289","K00626"
"2523231062","2523447959","G398DRAFT_00384","K00024"
"2523231062","2523449200","G398DRAFT_01626","K01026"
"2523231062","2523448973","G398DRAFT_01399","K00335"
"2523231062","2523448019","G398DRAFT_00444","K15987"
"2523231062","2523450416","G398DRAFT_02847","K01006"
"2523231062","2523450100","G398DRAFT_02527","K15633"
"2523231062","2523450068","G398DRAFT_02495","K01803"
"2523231062","2523448486","G398DRAFT_00911","K02115"
"2523231062","2523449317","G398DRAFT_01743","K00342"
"2523231062","2523448709","G398DRAFT_01134","K11942"
"2523231062","2523449740","G398DRAFT_02167","K00339"
"2523231062","2523449316","G398DRAFT_01742","K00343"
"2523231062","2523448020","G398DRAFT_00445","K00241"
"2523231062","2523448167","G398DRAFT_00592","K00627"
"2523231062","2523448487","G398DRAFT_00912","K02111"
"2523231062","2523449732","G398DRAFT_02159","K02110"
"2523231062","2523449318","G398DRAFT_01744","K00341"
"2523231062","2523448375","G398DRAFT_00800","K18118"
"2523231062","2523448904","G398DRAFT_01330","K03737"
"2523231062","2523449074","G398DRAFT_01500","K03738"
